host_time_s,device_time_ms,raw_value,filtered_value,triggered,trial_id,label,phase
0.6453,5937,0,0.0,0,,,
0.6461,5943,0,0.0,0,,,
0.6463,5949,0,0.0,0,,,
0.6464,5955,0,0.0,0,,,
0.6464,5961,0,0.0,0,,,
0.6465,5967,0,0.0,0,,,
0.6465,5973,0,0.0,0,,,
0.6466,5979,0,0.0,0,,,
0.6466,5985,0,0.0,0,,,
0.6467,5991,0,0.0,0,,,
0.6467,5997,0,0.0,0,,,
0.6468,6003,0,0.0,0,,,
0.6469,6009,0,0.0,0,,,
0.647,6015,0,0.0,0,,,
0.6471,6021,0,0.0,0,,,
0.6472,6027,0,0.0,0,,,
0.6473,6033,0,0.0,0,,,
0.6474,6039,0,0.0,0,,,
0.6476,6045,3,0.3,0,,,
0.6486,6051,25,2.77,0,,,
0.6487,6057,30,5.49,0,,,
0.6488,6063,27,7.64,0,,,
0.6489,6069,17,8.58,0,,,
0.6491,6075,143,22.02,0,,,
0.654,6081,263,46.12,0,,,
0.6599,6087,304,71.91,0,,,
0.6659,6093,337,98.42,0,,,
0.6721,6099,405,129.07,0,,,
0.678,6105,478,163.97,0,,,
0.684,6111,432,190.77,0,,,
0.6901,6117,356,207.29,0,,,
0.696,6123,381,224.66,0,,,
0.702,6129,391,241.3,0,,,
0.708,6135,373,254.47,0,,,
0.714,6141,320,261.02,0,,,
0.726,6147,302,265.12,0,,,
0.7262,6153,262,264.81,0,,,
0.7335,6159,245,262.83,0,,,
0.738,6165,320,268.54,0,,,
0.744,6171,446,286.29,0,,,
0.7501,6177,429,300.56,0,,,
0.7765,6183,373,307.8,0,,,
0.7856,6189,368,313.82,0,,,
0.7857,6195,400,322.44,0,,,
0.7858,6201,384,328.6,0,,,
0.7858,6207,352,330.94,0,,,
0.786,6213,323,330.14,0,,,
0.7928,6219,339,331.03,0,,,
0.799,6225,383,336.23,0,,,
0.8061,6231,336,336.2,0,,,
0.8112,6237,294,331.98,0,,,
0.8166,6243,288,327.59,0,,,
0.8221,6249,292,324.03,0,,,
0.828,6255,258,317.42,0,,,
0.8368,6261,221,307.78,0,,,
0.8498,6267,198,296.8,0,,,
0.8505,6273,173,284.42,0,,,
0.8529,6279,175,273.48,0,,,
0.8582,6285,170,263.13,0,,,
0.8649,6291,99,246.72,0,,,
0.87,6297,111,233.15,0,,,
0.8805,6303,78,217.63,0,,,
0.8927,6309,63,202.17,0,,,
0.8932,6315,53,187.25,0,,,
0.8943,6321,46,173.13,0,,,
0.9012,6327,45,160.31,0,,,
0.9063,6333,26,146.88,0,,,
0.912,6339,48,136.99,0,,,
0.9259,6345,48,128.1,0,,,
0.9338,6351,96,124.89,0,,,
0.9344,6357,237,136.1,0,,,
0.9517,6363,384,160.89,0,,,
0.9529,6369,427,187.5,0,,,
0.9538,6375,467,215.45,0,,,
0.9543,6381,428,236.7,0,,,
0.9604,6387,399,252.93,0,,,
0.9663,6393,362,263.84,0,,,
0.9721,6399,451,282.56,0,,,
0.9795,6405,605,314.8,0,,,
0.9849,6411,560,339.32,0,,,
0.9901,6417,491,354.49,0,,,
0.996,6423,433,362.34,0,,,
1.0113,6429,375,363.61,0,,,
1.012,6435,349,362.15,0,,,
1.0142,6441,282,354.13,0,,,
1.0207,6447,330,351.72,0,,,
1.0266,6453,467,363.25,0,,,
1.0322,6459,627,389.62,0,,,
1.038,6465,631,413.76,0,,,
1.044,6471,678,440.18,0,,,
1.0504,6477,720,468.16,0,,,
1.0699,6483,639,485.25,0,,,
1.085,6489,546,491.32,0,,,
1.0855,6495,474,489.59,0,,,
1.0857,6501,415,482.13,0,,,
1.0859,6507,357,469.62,0,,,
1.0866,6513,309,453.56,0,,,
1.0937,6519,267,434.9,0,,,
1.098,6525,230,414.41,0,,,
1.1048,6531,199,392.87,0,,,
1.1186,6537,187,372.28,0,,,
1.1192,6543,187,353.75,0,,,
1.1225,6549,176,335.98,0,,,
1.1311,6555,226,324.98,0,,,
1.1342,6561,337,326.18,0,,,
1.1402,6567,307,324.26,0,,,
1.1463,6573,396,331.44,0,,,
1.152,6579,511,349.39,0,,,
1.1579,6585,628,377.26,0,,,
1.1723,6591,663,405.83,0,,,
1.1733,6597,640,429.25,0,,,
1.1765,6603,589,445.22,0,,,
1.1832,6609,509,451.6,0,,,
1.1883,6615,447,451.14,0,,,
1.1942,6621,386,444.63,0,,,
1.2001,6627,333,433.46,0,,,
1.2322,6633,279,418.02,0,,,
1.2326,6639,256,401.82,0,,,
1.2328,6645,203,381.93,0,,,
1.2349,6651,207,364.44,0,,,
1.2355,6657,208,348.8,0,,,
1.2404,6663,213,335.22,0,,,
1.2435,6669,237,325.39,0,,,
1.2482,6675,201,312.96,0,,,
1.254,6681,173,298.96,0,,,
1.2599,6687,144,283.46,0,,,
1.267,6693,121,267.22,0,,,
1.2817,6699,102,250.7,0,,,
1.2831,6705,93,234.93,0,,,
1.2849,6711,89,220.33,0,,,
1.2913,6717,66,204.9,0,,,
1.296,6723,54,189.81,0,,,
1.302,6729,46,175.43,0,,,
1.3081,6735,39,161.79,0,,,
1.3143,6741,83,153.91,0,,,
1.3247,6747,85,147.02,0,,,
