trial_id,label,prep_start_host_s,go_host_s,window_end_host_s,triggered,trigger_delay_ms,result
1,0,4.359,4.359,6.359,0,,TN
2,0,8.461,8.461,10.461,0,,TN
3,0,13.25,13.25,15.25,0,,TN
4,0,15.741,15.741,17.741,0,,TN
5,0,17.843,17.843,19.843,0,,TN
6,0,21.186,21.186,23.186,0,,TN
1,0,7.225,7.225,9.225,0,,TN
2,0,9.23,9.23,11.23,0,,TN
3,0,11.461,11.461,13.461,0,,TN
1,0,15.217,15.217,17.217,0,,TN
1,1,5.678,5.678,7.678,0,,FN
1,1,3.959,3.959,5.959,1,1121.5,TP
2,1,13.992,13.992,15.992,1,78.3,TP
3,0,19.681,19.681,21.681,0,,TN
4,1,23.741,23.741,25.741,1,418.2,TP
5,1,30.509,30.509,32.509,1,166.3,TP
6,1,38.299,38.299,40.299,1,217.8,TP
7,1,45.645,45.645,47.645,1,66.6,TP
8,1,52.147,52.147,54.147,1,193.5,TP
9,0,58.023,58.023,60.023,0,,TN
10,0,60.84,60.84,62.84,0,,TN
11,0,66.113,66.113,68.113,0,,TN
12,1,77.597,77.597,79.597,1,266.5,TP
13,0,85.813,85.813,87.813,0,,TN
14,1,92.135,92.135,94.135,1,11.5,TP
15,0,105.561,105.561,107.561,0,,TN
16,1,115.016,115.016,117.016,1,18.9,TP
17,1,124.144,124.144,126.144,1,12.6,TP
18,0,132.631,132.631,134.631,0,,TN
1,0,4.984,4.984,6.984,0,,TN
2,0,8.428,8.428,10.428,0,,TN
3,1,21.737,21.737,23.737,0,,FN
4,1,66.81,66.81,68.81,0,,FN
5,1,90.381,90.381,92.381,0,,FN
1,1,6.021,6.021,8.021,0,,FN
1,0,33.555,33.555,35.555,0,,TN
2,0,36.087,36.087,38.087,1,,FP
3,1,43.897,43.897,45.897,0,,FN
4,1,60.215,60.215,62.215,1,749.4,TP
1,1,6.17,6.17,8.17,1,265.1,TP
2,0,10.639,10.639,12.639,0,,TN
3,1,21.447,21.447,23.447,1,455.8,TP
4,1,31.485,31.485,33.485,1,323.6,TP
5,0,33.62,33.62,35.62,1,,FP
6,1,38.982,38.982,40.982,1,248.7,TP
7,1,48.398,48.398,50.398,1,27.5,TP
8,1,55.618,55.618,57.618,1,273.7,TP
9,1,62.257,62.257,64.257,1,342.5,TP
10,1,70.335,70.335,72.335,1,0.0,TP
11,1,77.549,77.549,79.549,1,163.9,TP
12,1,87.21,87.21,89.21,1,14.8,TP
13,1,97.496,97.496,99.496,1,28.6,TP
14,1,109.945,109.945,111.945,1,113.8,TP
15,1,117.317,117.317,119.317,1,25.7,TP
16,1,124.142,124.142,126.142,1,13.5,TP
17,1,133.762,133.762,135.762,1,14.2,TP
18,1,139.31,139.31,141.31,0,,FN
19,1,145.967,145.967,147.967,1,0.3,TP
20,1,151.617,151.617,153.617,0,,FN
21,1,157.392,157.392,159.392,1,125.3,TP
22,1,164.269,164.269,166.269,1,93.8,TP
23,1,171.301,171.301,173.301,1,93.9,TP
24,1,178.483,178.483,180.483,1,14.2,TP
25,1,186.918,186.918,188.918,1,0.4,TP
26,1,192.281,192.281,194.281,1,289.9,TP
27,1,203.192,203.192,205.192,0,,FN
28,1,210.78,210.78,212.78,0,,FN
29,1,218.007,218.007,220.007,1,14.0,TP
30,1,226.554,226.554,228.554,1,17.0,TP
31,1,235.197,235.197,237.197,0,,FN
32,1,240.197,240.197,242.197,1,1121.5,TP
33,1,243.197,243.197,245.197,1,78.3,TP
34,1,246.197,246.197,248.197,1,418.2,TP
35,1,249.197,249.197,251.197,1,166.3,TP
36,1,252.197,252.197,254.197,1,217.8,TP
37,1,255.197,255.197,257.197,1,66.6,TP
38,1,258.197,258.197,260.197,1,193.5,TP
39,1,261.197,261.197,263.197,1,266.5,TP
40,1,264.197,264.197,266.197,1,11.5,TP
41,1,267.197,267.197,269.197,1,18.9,TP
42,1,270.197,270.197,272.197,1,12.6,TP
43,1,273.197,273.197,275.197,1,749.4,TP
44,1,276.197,276.197,278.197,1,265.1,TP
45,1,279.197,279.197,281.197,1,455.8,TP
46,1,282.197,282.197,284.197,1,323.6,TP
47,1,285.197,285.197,287.197,1,248.7,TP
48,1,288.197,288.197,290.197,1,27.5,TP
49,1,291.197,291.197,293.197,1,273.7,TP
50,1,294.197,294.197,296.197,1,342.5,TP
51,0,297.197,297.197,299.197,0,,TN
52,0,300.197,300.197,302.197,0,,TN
53,0,303.197,303.197,305.197,0,,TN
54,0,306.197,306.197,308.197,0,,TN
55,0,309.197,309.197,311.197,0,,TN
56,0,312.197,312.197,314.197,0,,TN
57,0,315.197,315.197,317.197,0,,TN
58,0,318.197,318.197,320.197,0,,TN
59,0,321.197,321.197,323.197,0,,TN
60,0,324.197,324.197,326.197,0,,TN
61,0,327.197,327.197,329.197,0,,TN
